Abbreviation,State
AL,Alabama
AK,Alaska
AZ,Arizona
AR,Arkansas
CA,California
CO,Colorado
CT,Conn
DE,Delaware
DC,DC
FL,Florida
GA,Georgia
HI,Hawaii
ID,Idaho
IL,Illinois
IN,Indiana
IA,Iowa
KS,Kansas
KY,Kentucky
LA,Louisiana
ME,Maine
MT,Montana
NE,Nebraska
NV,Nevada
NH,New Hamp
NJ,New Jersey
NM,New Mexico
NY,New York
NC,N Carolina
ND,N Dakota
OH,Ohio
OK,Oklahoma
OR,Oregon
MD,Maryland
MA,Mass
MI,Michigan
MN,Minnesota
MS,Mississippi
MO,Missouri
PA,Penn
RI,Rhode Island
SC,S Carolina
SD,S Dakota
TN,Tennessee
TX,Texas
UT,Utah
VT,Vermont
VA,Virginia
WA,Washington
WV,W Virginia
WI,Wisconsin
WY,Wyoming
US,United States
